"","gens","A_M_Pred","A_Av_M_Obs","A_F_Pred","A_Av_F_Obs","B_M_Pred","B_Av_M_Obs","B_F_Pred","B_Av_F_Obs","C_M_Pred","C_Av_M_Obs","C_F_Pred","C_Av_F_Obs","D_M_Pred","D_Av_M_Obs","D_F_Pred","D_Av_F_Obs"
"1",1,0.0476190476190476,0.0476190476190476,0,0,0.2,0.2,0,0,0.333333333333333,0.333333333333333,0,0,0.5,0.5,0,0
"2",2,0.086,0.0847600036122942,0,0.00025,0.315333333333333,0.27020803854318,0,0.00152934372129419,0.473,0.401054077863277,0,0.00367501769401187,0.946,0.549596489814929,0,0.0166616143295004
"3",3,0.0813199505689278,0.122258102462684,3.60494310722101e-05,0.00102083333333333,0.297658327364492,0.317390072358228,0.000647005968841285,0.00394757633147726,0.445566704563567,0.435863166398634,0.00189129543643264,0.0126912816788249,0.82108543,0.569134475063648,0.07383057,0.0309901807137954
"4",4,0.0768339619216753,0.152289615506342,6.75945220517589e-05,0.00347450017409152,0.279815416880732,0.327271517963321,0.00129494672472967,0.0144152054425281,0.416118225082454,0.424509334868055,0.00404437151027604,0.0274170261750371,0.610407737737034,0.451269177979177,0.147408510758846,0.0544323865675707
"5",5,0.0725424716578122,0.197691390406667,9.48074482162885e-05,0.00727578755145821,0.26211136417395,0.334421414543444,0.00191786771758512,0.0211839012095994,0.385964456191047,0.367228783311904,0.00631112256184157,0.0386919789127069,0.499029941706067,0.38447689015704,0.169296458811178,0.0706009476040491
"6",6,0.0684431305451377,0.214025384214654,0.00011798373960001,0.0104467585403356,0.244686648679117,0.314693534404176,0.00249915127096705,0.0309272681819348,0.355613302197416,0.331076051758349,0.00856435349653471,0.0399378311948694,0.407921236454765,0.44218679142141,0.175854046199304,0.0820592732163692
"7",7,0.0645329733381667,0.181536549734824,0.000137429016687976,0.0200167945706997,0.227691226698119,0.28579810600074,0.00302505017790273,0.0373203076347468,0.325733504427209,0.296654359376472,0.0106815016177879,0.0418001815529701,0.340717806879021,0.434655816116758,0.171658515094382,0.130762921996012
"8",8,0.0608084326597462,0.211199734471851,0.000153452250474495,0.0221861386347235,0.211259539509442,0.333348995966142,0.00348536385772586,0.0450509418420929,0.296907491636515,0.303426032351018,0.0125641216524157,0.06588408192155,0.289592234765787,0.481507910907874,0.163240234978407,0.189022090269729
"9",9,0.0572654015569871,0.217405203322983,0.000166360617955363,0.0376065210686353,0.195505664161948,0.340554703899968,0.0038737558466744,0.0623628210155115,0.269600094743587,0.376694444244865,0.0141472294157411,0.103352632105811,0.250172749903998,0.477474783525548,0.153299909091201,0.156916475385362
